Кредит (актив);Вклад (пассив);Дата погашения;Срок погашения, дней;Ставка, %;[ОТВЕТ] Номер группы;
0;16700000;;<30;1.708000;;
20800000;0;;<30;1.708000;;
0;20800000;;<30;1.704600;;
0;20800000;;<30;1.704600;;
0;100000000;;<30;1.709100;;
0;20800000;;<30;1.721500;;
0;10400000;;<30;1.721500;;
0;30900000;;<30;1.674600;;
31000000;0;;<30;1.674600;;
27000000;0;;<30;1.703900;;
0;20600000;;<30;1.721500;;
30800000;0;;<30;1.731300;;
80000000;0;;<30;1.693400;;
12400000;0;;<30;1.657900;;
0;11000000;;<30;1.674600;;
20600000;0;;<30;1.694700;;
0;20000000;;<30;1.703800;;
20600000;0;;<30;1.721500;;
41400000;0;;<30;1.694700;;
0;20700000;;<30;1.703800;;
95800000;0;;<30;1.703900;;
21900000;0;;<30;1.721500;;
0;173000000;;<30;1.721500;;
0;10300000;;<30;1.657900;;
0;37700000;;<30;1.674600;;
31000000;0;;<30;1.693400;;
32800000;0;;<30;1.693400;;
0;140000000;;<30;1.695900;;
0;20700000;;<30;1.694700;;
0;20600000;;<30;1.703900;;
0;20700000;;<30;1.731300;;
0;20700000;;<30;1.744700;;
53200000;0;;<30;1.693400;;
0;20500000;;<30;1.693400;;
0;20400000;;<30;1.703800;;
0;10200000;;<30;1.703800;;
0;20400000;;<30;1.704600;;
0;79000000;;<30;1.693400;;
52600000;0;;<30;1.657900;;
10100000;0;;<30;1.685800;;
0;104200000;;<30;1.693400;;
0;16200000;;<30;1.695900;;
0;220000000;;<30;1.685800;;
0;150000000;;<30;1.403100;;
82100000;0;;<30;1.657900;;
0;25400000;;<30;1.674600;;
0;25400000;;<30;1.685800;;
102600000;0;;<30;1.693400;;
41000000;0;;<30;1.721500;;
0;53500000;;<30;1.739200;;
0;13800000;;<30;1.657900;;
20600000;0;;<30;1.693400;;
0;30000000;;<30;1.721500;;
30000000;0;;<30;1.721500;;
0;102600000;;<30;1.739200;;
0;41000000;;<30;1.739200;;
0;80000000;;<30;1.693400;;
50200000;0;;<30;0.894500;;
6000000;0;;<30;1.703800;;
0;15000000;;<30;1.709100;;
11000000;0;;<30;1.709100;;
0;11000000;;<30;1.709100;;
0;55000000;;<30;1.709100;;
11000000;0;;<30;1.709100;;
21000000;0;;<30;1.731300;;
0;31000000;;<30;1.731300;;
5000000;0;;<30;1.739200;;
0;20500000;;<30;1.739200;;
16100000;0;;<30;1.739200;;
0;41100000;;<30;1.739200;;
0;543798.33;;<30;0.400000;;
0;5005612.40;;<30;0.400000;;
0;927752.31;;<30;0.750000;;
0;3053875.68;;<30;-0.100000;;
0;5023013.12;;<30;-0.100000;;
0;5885593.30;;<30;0.700000;;
0;5097398.19;;<30;-0.100000;;
0;1180306.27;;<30;-0.100000;;
0;11269196.55;;<30;-0.100000;;
0;13531251.14;;<30;-0.100000;;
0;13608916.20;;<30;-0.100000;;
0;1673869.64;;<30;0.200000;;
0;278071.34;;<30;0.750000;;
0;503525.18;;<30;0.600000;;
0;679337.43;;<30;3.700000;;
0;954813.46;;<30;-0.100000;;
0;400464.07;;<30;0.750000;;
0;519689.33;;<30;0.350000;;
0;8108176.92;;<30;0.500000;;
0;485260.29;;<30;-0.050000;;
0;524043.86;;<30;0.350000;;
0;614927.33;;<30;0.100000;;
0;5339939;;<30;0.200000;;
0;515702.41;;<30;0.450000;;
0;523151.67;;<30;0.450000;;
0;524811.50;;<30;0.450000;;
0;708898.53;;<30;0.450000;;
0;5872891.50;;<30;0.600000;;
0;789874.17;;<30;0.500000;;
0;491713.27;;<30;3;;
0;71355.46;;<30;-0.500000;;
0;8878040.78;;<30;-0.100000;;
0;1460351.62;;<30;-0.100000;;
0;3607302.66;;<30;-0.100000;;
0;1052526.31;;<30;0.100000;;
0;376531.65;;<30;0.250000;;
0;607559.06;;<30;0.500000;;
0;957099.18;;<30;0.250000;;
0;1478888.45;;<30;-1.250000;;
0;71406.68;;<30;3.700000;;
0;535449.13;;<30;0.750000;;
0;8771925.57;;<30;-0.100000;;
0;405390.52;;<30;-0.100000;;
0;92092.28;;<30;-3.500000;;
0;1738280.49;;<30;-1;;
0;173058.06;;<30;-0.100000;;
0;2004210.52;;<30;-0.100000;;
13952230.61;0;;<30;7.620000;;
0;3449233.15;;<30;-0.750000;;
0;6298580.76;;<30;0.750000;;
0;1967824.78;;<30;-0.100000;;
0;7828178.10;;<30;-0.100000;;
0;9780827.79;;<30;-0.100000;;
0;495000;;<30;0;;
0;1984000;;<30;0;;
0;1996953.64;;<30;0.400000;;
0;2582509.73;;<30;0.750000;;
0;3128145.50;;<30;0.750000;;
0;5458364.27;;<30;0.400000;;
0;673226.47;;<30;-0.100000;;
1000064.38;0;;<30;2.350000;;
0;417582.68;;<30;-0.100000;;
0;794691.12;;<30;-0.100000;;
0;1191580;;<30;-0.100000;;
0;407569.57;;<30;0.500000;;
0;612190.11;;<30;0.500000;;
0;733829.74;;<30;0.500000;;
0;11155075.56;;<30;-0.500000;;
0;14991413.69;;<30;-0.100000;;
20000000;0;;<30;1.674600;;
0;20500000;;<30;1.674600;;
10300000;0;;<30;1.674600;;
25000000;0;;<30;1.693400;;
0;20500000;;<30;1.694700;;
0;20500000;;<30;1.721500;;
0;10300000;;<30;1.721500;;
20600000;0;;<30;1.693400;;
15000000;0;;<30;1.721500;;
16100000;0;;<30;1.739200;;
0;25500000;;<30;1.739200;;
20500000;0;;<30;1.739200;;
22000000;0;;<30;1.744700;;
0;553498.49;;<30;-4;;
0;1327546.34;;<30;-4;;
0;2121610.75;;<30;0.750000;;
0;219434.41;;<30;0.500000;;
0;435994.75;;<30;0.500000;;
0;548522.56;;<30;0.750000;;
0;789867;;<30;0.500000;;
0;1527542.97;;<30;0.750000;;
0;4388840.73;;<30;0.750000;;
0;115416.83;;<30;0.750000;;
0;408386.80;;<30;1;;
0;571996.14;;<30;0.100000;;
0;576999.13;;<30;0.650000;;
0;578052.64;;<30;0.650000;;
0;579667.41;;<30;0.650000;;
0;707692.83;;<30;0.650000;;
0;1540584.98;;<30;0.650000;;
0;1638830.98;;<30;0.650000;;
0;211275.21;;<30;0.200000;;
0;4224281.62;;<30;0.100000;;
0;94874.53;;<30;3;;
0;1241315.81;;<30;-0.100000;;
0;524106.44;;<30;0.250000;;
0;2172155.30;;<30;-0.100000;;
0;109009.02;;<30;-3;;
0;204256.25;;<30;-1.250000;;
0;310535.27;;<30;0.500000;;
0;350082.28;;<30;-5;;
0;415658.81;;<30;-5;;
0;425897.28;;<30;-2.500000;;
0;432572.96;;<30;-2.250000;;
0;482743.06;;<30;-3.500000;;
0;587304.87;;<30;-2.750000;;
0;909327.86;;<30;-5;;
0;1041692.96;;<30;-2.500000;;
0;1794840.28;;<30;-5;;
0;1812313.56;;<30;-2.500000;;
0;227198.73;;<30;0.500000;;
0;333221.67;;<30;0.750000;;
0;409604.99;;<30;0.750000;;
0;453294.44;;<30;0.750000;;
0;454121.78;;<30;0.750000;;
0;473178.85;;<30;0.750000;;
0;1149742.45;;<30;0.750000;;
0;20800000;;<30;1.657900;;
0;95000000;;<30;1.415600;;
74000000;0;;<30;1.674600;;
30800000;0;;<30;1.693400;;
0;25800000;;<30;1.695900;;
0;20400000;;<30;1.703800;;
0;41300000;;<30;1.674600;;
0;10400000;;<30;1.739200;;
20900000;0;;<30;1.739200;;
0;85400000;;<30;1.657900;;
16000000;0;;<30;2.174700;;
0;52000000;;<30;1.695900;;
191700000;0;;<30;1.550600;;
0;112351591.50;;<30;1.685800;;
220702086.90;0;;<30;1.685800;;
89261881.26;0;;<30;1.685800;;
60610736.72;0;;<30;1.685800;;
101500000;0;;<30;1.709100;;
